word,n,topic,beta
ребенок_noun,15596,Topic 1,0.015538356151452902
врач_noun,16110,Topic 1,0.015523271203618906
больница_noun,12134,Topic 1,0.014710522386066073
операция_noun,9796,Topic 1,0.01316920460150187
помощь_noun,12560,Topic 1,0.008793970182753125
год_noun,25677,Topic 1,0.00858966809008648
состояние_noun,7762,Topic 1,0.008561426601230559
пациент_noun,12493,Topic 1,0.00782291100706506
центр_noun,8349,Topic 1,0.006542845151249084
провести_verb,5402,Topic 1,0.006262997829843376
отделение_noun,4551,Topic 1,0.006136597572719811
женщина_noun,5949,Topic 1,0.005582612435034347
медицинский_adj,17878,Topic 1,0.00556420581219029
областной_adj,4225,Topic 1,0.00518563544956292
детский_adj,4325,Topic 1,0.005013073097322715
находиться_verb,4643,Topic 1,0.004791314400564805
область_noun,9646,Topic 1,0.004649900301578206
девочка_noun,3903,Topic 1,0.0045784727034746476
сообщить_verb,5639,Topic 1,0.0045736643162782075
рассказать_verb,5082,Topic 1,0.004550363195344616
случай_noun,9639,Topic 2,0.02003063145294376
год_noun,25677,Topic 2,0.01948079706928142
человек_noun,12725,Topic 2,0.013677667575518845
ребенок_noun,15596,Topic 2,0.013257508071199254
область_noun,9646,Topic 2,0.012698363311442192
инфекция_noun,3645,Topic 2,0.011056987537107765
заболевание_noun,7973,Topic 2,0.009013621663713507
вирус_noun,2239,Topic 2,0.006861571053490112
страна_noun,5518,Topic 2,0.006089546824808756
вакцинация_noun,1995,Topic 2,0.005679566210674852
выявить_verb,2646,Topic 2,0.0056099209036261
зарегистрировать_verb,1811,Topic 2,0.005044985354317485
здравоохранение_noun,10765,Topic 2,0.004981533057073333
контроль_noun,2669,Topic 2,0.004735156953421374
число_noun,3215,Topic 2,0.004625364616952205
инфекционный_adj,1495,Topic 2,0.004613641100337745
сообщить_verb,5639,Topic 2,0.004302545452428643
данные_noun,3152,Topic 2,0.004109414502264655
начало_noun,2009,Topic 2,0.0037478345748610848
место_noun,3150,Topic 2,0.003700162370941831
мочь_verb,10868,Topic 3,0.014045011083723835
человек_noun,12725,Topic 3,0.010935053492147562
заболевание_noun,7973,Topic 3,0.008129614843888031
быть_verb,7681,Topic 3,0.006874468081879899
год_noun,25677,Topic 3,0.006504346181603828
здоровье_noun,4718,Topic 3,0.0051501203745698025
пациент_noun,12493,Topic 3,0.005123441815470337
врач_noun,16110,Topic 3,0.004981907910465978
лечение_noun,8313,Topic 3,0.004773373001575751
жизнь_noun,6276,Topic 3,0.004762111208230024
рак_noun,2140,Topic 3,0.004136624729745771
организм_noun,2122,Topic 3,0.004101830807647136
время_noun,7122,Topic 3,0.004082416040662272
можно_verb,2992,Topic 3,0.003968967261659728
болезнь_noun,2900,Topic 3,0.003913071603978974
другой_adj,4601,Topic 3,0.0036278149382264796
проблема_noun,2861,Topic 3,0.0035790919428472304
самый_adj,3747,Topic 3,0.0034301195852446324
специалист_noun,5216,Topic 3,0.0033753645244788493
нужный_adj,2580,Topic 3,0.0031674037966803455
медицинский_adj,17878,Topic 4,0.021380174776425592
год_noun,25677,Topic 4,0.016691858863918472
здравоохранение_noun,10765,Topic 4,0.010886666953607014
помощь_noun,12560,Topic 4,0.007939308276662933
система_noun,5893,Topic 4,0.00765475979138393
услуга_noun,3753,Topic 4,0.006290364160383061
пациент_noun,12493,Topic 4,0.005325966258715216
центр_noun,8349,Topic 4,0.0046966515462614575
страна_noun,5518,Topic 4,0.004659591431298079
новый_adj,4800,Topic 4,0.004558384626205791
работа_noun,5660,Topic 4,0.004514624744195723
организация_noun,3084,Topic 4,0.004367916003059301
средство_noun,3044,Topic 4,0.004171451094899293
лекарство_noun,2836,Topic 4,0.003864925279678614
социальный_adj,2703,Topic 4,0.003792913405561588
препарат_noun,3600,Topic 4,0.0037191277067778403
область_noun,9646,Topic 4,0.0037099548081035447
рамка_noun,2471,Topic 4,0.00364945282354978
проект_noun,2126,Topic 4,0.0036251169921062624
миллион_noun,3143,Topic 4,0.0033923926793508496
